SiteName,Reno NV
SiteLongitude,-119.7000
SiteLatitude,39.5500
2014-03-01,2014-03-31,1.23e+15
2014-04-01,2014-04-30,1.006e+15
2014-05-01,2014-05-31,1.042e+15
2014-06-01,2014-06-30,1.382e+15
2014-07-01,2014-07-31,1.187e+15
2014-08-01,2014-08-31,1.503e+15
2014-09-01,2014-09-30,1.547e+15
2014-10-01,2014-10-31,1.949e+15
2014-11-01,2014-11-30,1.597e+15
2014-12-01,2014-12-31,1.787e+15
2015-01-01,2015-01-31,2.234e+15
2015-02-01,2015-02-28,1.689e+15
2015-03-01,2015-03-31,1.557e+15
2015-04-01,2015-04-30,8.451e+14
2015-05-01,2015-05-31,1.275e+15
2015-06-01,2015-06-30,1.252e+15
2015-07-01,2015-07-31,9.581e+14
2015-08-01,2015-08-31,1.477e+15
2015-09-01,2015-09-30,1.727e+15
2015-10-01,2015-10-31,1.679e+15
2015-11-01,2015-11-30,1.32e+15
2015-12-01,2015-12-31,1.376e+15
