SiteName,TestCity
SiteLongitude,-90.0000
SiteLatitude,35.0000
2013-11-01,2013-11-30,4.947e+15
2013-12-01,2013-12-31,5.909e+15
2014-01-01,2014-01-31,6.871e+15
2014-02-01,2014-02-28,7.565e+15
2014-03-01,2014-03-31,7.795e+15
2014-04-01,2014-04-30,7.49e+15
2014-05-01,2014-05-31,6.72e+15
2014-06-01,2014-06-30,5.682e+15
2014-07-01,2014-07-31,4.644e+15
2014-08-01,2014-08-31,3.874e+15
2014-09-01,2014-09-30,3.568e+15
2014-10-01,2014-10-31,3.798e+15
2014-11-01,2014-11-30,4.492e+15
2014-12-01,2014-12-31,5.455e+15
2015-01-01,2015-01-31,6.417e+15
2015-02-01,2015-02-28,7.111e+15
2015-03-01,2015-03-31,7.341e+15
2015-04-01,2015-04-30,7.035e+15
2015-05-01,2015-05-31,6.265e+15
2015-06-01,2015-06-30,5.227e+15
2015-07-01,2015-07-31,4.189e+15
2015-08-01,2015-08-31,3.419e+15
2015-09-01,2015-09-30,3.114e+15
2015-10-01,2015-10-31,3.344e+15
2015-11-01,2015-11-30,4.038e+15
2015-12-01,2015-12-31,5e+15
